Test [CP:01]
Test [CP:01]	Genetic [CP:11]
Test [CP:01]	Genetic [CP:11]	Cytogenetic [CP:111]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	MR imaging [CP:244]	abdomen [CP:247]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	MR imaging [CP:244]	chest [CP:248]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	MR imaging [CP:244]	heart [CP:249]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	MR spectroscopy [CP:2410]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	MR spectroscopy [CP:2410]	brain [CP:2411]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	MR spectroscopy [CP:2410]	liver [CP:2412]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	U/S [CP:2413]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	U/S [CP:2413]	head [CP:2414]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	U/S [CP:2413]	spine [CP:2415]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	U/S [CP:2413]	abdomen [CP:2416]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	U/S [CP:2413]	chest [CP:2417]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	U/S [CP:2413]	heart [CP:2418]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	CT [CP:2419]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	CT [CP:2419]	head [CP:2420]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	CT [CP:2419]	spine [CP:2421]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	CT [CP:2419]	abdomen [CP:2422]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	CT [CP:2419]	chest [CP:2423]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	CT [CP:2419]	heart [CP:2424]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	X-Ray [CP:2425]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	X-Ray [CP:2425]	head [CP:2426]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	X-Ray [CP:2425]	spine [CP:2427]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	X-Ray [CP:2425]	abdomen [CP:2428]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	X-Ray [CP:2425]	chest [CP:2429]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	X-Ray [CP:2425]	heart [CP:2430]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	echo [CP:2431]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	mammogram [CP:2432]
Care [CP:02]	Imaging for the purpose of screening or surveillance or [CP:24]	colonoscopy [CP:2433]
Care [CP:02]	Electrical tests for the purpose of screening or surveillance [CP:25]
Care [CP:02]	Electrical tests for the purpose of screening or surveillance [CP:25]	EEG [CP:251]
Care [CP:02]	Electrical tests for the purpose of screening or surveillance [CP:25]	ECG [CP:252]
Care [CP:02]	Electrical tests for the purpose of screening or surveillance [CP:25]	24 hr holter [CP:253]
Care [CP:02]	Electrical tests for the purpose of screening or surveillance [CP:25]	EMG [CP:254]
Care [CP:02]	Electrical tests for the purpose of screening or surveillance [CP:25]	ERG [CP:255]
Care [CP:02]	Electrical tests for the purpose of screening or surveillance [CP:25]	VEP [CP:256]
Care [CP:02]	Therapeutic option [CP:26]
Care [CP:02]	Therapeutic option [CP:26]	approved drug available [CP:261]
Care [CP:02]	Therapeutic option [CP:26]	approved drug available [CP:261]	prescribed [CP:262]
Care [CP:02]	Therapeutic option [CP:26]	approved drug available [CP:261]	not prescribed [CP:263]
Care [CP:02]	Therapeutic option [CP:26]	approved drug unavailable [CP:264]
Care [CP:02]	Therapeutic option [CP:26]	clinical trial available [CP:265]
Care [CP:02]	Therapeutic option [CP:26]	clinical trial available [CP:265]	accessible to patient [CP:266]
Care [CP:02]	Therapeutic option [CP:26]	clinical trial available [CP:265]	not accessible [CP:267]
Care [CP:02]	Therapeutic option [CP:26]	none [CP:268]
Care [CP:02]	Inpatient visit [CP:27]
Care [CP:02]	Inpatient visit [CP:27]	1-2 days [CP:271]
Care [CP:02]	Inpatient visit [CP:27]	3-5 days [CP:272]
Care [CP:02]	Inpatient visit [CP:27]	6-10 days [CP:273]
Care [CP:02]	Inpatient visit [CP:27]	11-14 days [CP:274]
Care [CP:02]	Inpatient visit [CP:27]	>2 weeks [CP:275]
Care [CP:02]	Inpatient visit [CP:27]	>4 weeks [CP:276]
Care [CP:02]	Emergency department visit [CP:28]
Care [CP:02]	Emergency department visit [CP:28]	Y/N [CP:281]
Family Care [CP:03]
Family Care [CP:03]	My patient's analysis of primary variants revealed: [CP:31]
